video_name,cq,vmaf,output_size,bitrate
bridge_far_cif_segment_008.mp4,15,96.09,1.59,2.67
bridge_far_cif_segment_008.mp4,20,95.18,0.91,1.53
bridge_far_cif_segment_008.mp4,25,94.4,0.53,0.88
bridge_far_cif_segment_008.mp4,30,93.5,0.31,0.52
bridge_far_cif_segment_008.mp4,35,92.19,0.17,0.28
bridge_far_cif_segment_008.mp4,40,90.14,0.09,0.16
bridge_far_cif_segment_009.mp4,10,97.11,2.88,4.83
bridge_far_cif_segment_009.mp4,15,96.1,1.59,2.67
bridge_far_cif_segment_009.mp4,20,95.18,0.92,1.54
bridge_far_cif_segment_009.mp4,25,94.46,0.52,0.87
bridge_far_cif_segment_009.mp4,30,93.71,0.31,0.51
bridge_far_cif_segment_009.mp4,35,92.32,0.17,0.28
bridge_far_cif_segment_009.mp4,40,90.23,0.09,0.16
bridge_far_cif_segment_010.mp4,10,97.1,2.88,4.83
bridge_far_cif_segment_010.mp4,15,96.02,1.60,2.69
bridge_far_cif_segment_010.mp4,20,95.3,0.92,1.53
bridge_far_cif_segment_010.mp4,25,94.59,0.52,0.87
bridge_far_cif_segment_010.mp4,30,93.68,0.30,0.51
bridge_far_cif_segment_010.mp4,35,92.2,0.17,0.29
bridge_far_cif_segment_010.mp4,40,90.39,0.10,0.16
bridge_far_cif_segment_011.mp4,10,97.1,2.87,4.81
bridge_far_cif_segment_011.mp4,15,96.06,1.60,2.68
bridge_far_cif_segment_011.mp4,20,95.27,0.91,1.53
bridge_far_cif_segment_011.mp4,25,94.51,0.53,0.89
bridge_far_cif_segment_011.mp4,30,93.6,0.31,0.52
bridge_far_cif_segment_011.mp4,35,92.3,0.17,0.28
bridge_far_cif_segment_011.mp4,40,90.05,0.09,0.16
bridge_far_cif_segment_012.mp4,10,97.1,2.88,4.83
bridge_far_cif_segment_012.mp4,15,96.07,1.61,2.69
bridge_far_cif_segment_012.mp4,20,95.29,0.92,1.54
bridge_far_cif_segment_012.mp4,25,94.55,0.52,0.87
bridge_far_cif_segment_012.mp4,30,93.56,0.31,0.52
bridge_far_cif_segment_012.mp4,35,92.18,0.17,0.28
bridge_far_cif_segment_012.mp4,40,90.2,0.10,0.16
bus_cif_segment_000.mp4,10,99.98,2.76,4.63
bus_cif_segment_000.mp4,15,99.98,1.72,2.88
bus_cif_segment_000.mp4,20,99.98,1.10,1.84
bus_cif_segment_000.mp4,25,99.97,0.70,1.18
bus_cif_segment_000.mp4,30,99.96,0.45,0.76
bus_cif_segment_000.mp4,35,98.62,0.30,0.50
bus_cif_segment_000.mp4,40,92.27,0.20,0.33
carphone_qcif_segment_000.mp4,10,99.21,0.60,1.00
carphone_qcif_segment_000.mp4,15,99,0.37,0.63
carphone_qcif_segment_000.mp4,20,98.65,0.25,0.42
carphone_qcif_segment_000.mp4,25,97.99,0.16,0.27
carphone_qcif_segment_000.mp4,30,96.88,0.11,0.18
carphone_qcif_segment_000.mp4,35,95.21,0.07,0.12
carphone_qcif_segment_000.mp4,40,92.97,0.05,0.08
carphone_qcif_segment_001.mp4,10,99.77,0.70,1.17
carphone_qcif_segment_001.mp4,15,99.69,0.48,0.81
carphone_qcif_segment_001.mp4,20,99.46,0.32,0.54
carphone_qcif_segment_001.mp4,25,98.69,0.21,0.35
carphone_qcif_segment_001.mp4,30,96.99,0.14,0.23
carphone_qcif_segment_001.mp4,35,94.09,0.09,0.15
carphone_qcif_segment_001.mp4,40,89.88,0.06,0.10
city_4cif_segment_000.mp4,10,99.98,18.44,31.46
city_4cif_segment_000.mp4,15,99.9,10.59,19.13
city_4cif_segment_000.mp4,20,99.41,6.18,10.94
city_4cif_segment_000.mp4,25,98.58,3.66,5.81
city_4cif_segment_000.mp4,30,97.27,2.20,3.00
city_4cif_segment_000.mp4,35,95.2,1.34,2.00
city_4cif_segment_000.mp4,40,92.13,0.85,0.98
city_4cif_segment_001.mp4,10,99.94,18.51,31.96
city_4cif_segment_001.mp4,15,99.36,10.69,18.27
city_4cif_segment_001.mp4,20,98.12,6.21,10.33
city_4cif_segment_001.mp4,25,96.75,3.67,6.09
city_4cif_segment_001.mp4,30,95.18,2.20,2.82
city_4cif_segment_001.mp4,35,92.99,1.33,1.21
city_4cif_segment_001.mp4,40,89.61,0.83,0.96
city_cif_segment_000.mp4,10,99.97,2.16,3.62
city_cif_segment_000.mp4,15,99.91,1.31,2.19
city_cif_segment_000.mp4,20,99.75,0.83,1.39
city_cif_segment_000.mp4,25,99.19,0.52,0.87
city_cif_segment_000.mp4,30,97.76,0.33,0.56
city_cif_segment_000.mp4,35,94.67,0.22,0.36
