cq,vmaf,metrics_avg_motion,metrics_avg_edge_density,metrics_avg_texture,metrics_avg_temporal_information,metrics_avg_spatial_information,metrics_avg_color_complexity,metrics_scene_change_count,metrics_avg_motion_variance,metrics_avg_grain_noise,metrics_frame_rate,metrics_resolution
15,96.48,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
20,95.6,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
25,94.58,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
30,93.23,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
35,91.21,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
40,88.91,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
10,97.39,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
15,96.48,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
20,95.59,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
25,94.6,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
30,93.11,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
35,91.1,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
40,88.54,0.05,0.1,6.61,2.27,85.25,6.55,0,0.06,8.98,30,"(352, 288)"
10,97.11,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.08,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.3,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.7,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.97,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.68,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.69,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.05,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.02,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.26,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.6,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.74,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.52,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.64,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.06,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.03,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.21,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.55,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.79,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.52,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.69,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.09,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.04,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.3,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.74,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.97,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.73,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.67,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.13,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.15,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.39,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.83,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.95,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.66,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.73,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.09,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.06,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.3,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.7,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.94,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.82,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.56,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.1,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.06,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.25,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.53,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.64,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.2,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.15,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.09,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.09,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.18,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.4,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.5,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.19,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.14,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.11,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.1,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.18,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.46,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.71,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.32,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.23,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.1,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.02,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.3,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.59,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.68,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.2,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.39,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.1,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.06,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.27,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.51,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.6,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.3,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.05,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,97.1,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
15,96.07,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
20,95.29,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
25,94.55,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
30,93.56,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
35,92.18,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
40,90.2,0.05,0.04,6.88,1.39,66.92,6.56,0,0.06,5.24,30,"(352, 288)"
10,99.98,2.08,0.21,7.26,26.42,156.83,7.22,0,0.94,17.29,30,"(352, 288)"
15,99.98,2.08,0.21,7.26,26.42,156.83,7.22,0,0.94,17.29,30,"(352, 288)"
20,99.98,2.08,0.21,7.26,26.42,156.83,7.22,0,0.94,17.29,30,"(352, 288)"
25,99.97,2.08,0.21,7.26,26.42,156.83,7.22,0,0.94,17.29,30,"(352, 288)"
30,99.96,2.08,0.21,7.26,26.42,156.83,7.22,0,0.94,17.29,30,"(352, 288)"
35,98.62,2.08,0.21,7.26,26.42,156.83,7.22,0,0.94,17.29,30,"(352, 288)"
40,92.27,2.08,0.21,7.26,26.42,156.83,7.22,0,0.94,17.29,30,"(352, 288)"
10,99.21,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
15,99,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
20,98.65,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
25,97.99,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
30,96.88,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
35,95.21,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
40,92.97,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
10,99.77,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
15,99.69,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
20,99.46,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
25,98.69,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
30,96.99,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
35,94.09,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
40,89.88,0.44,0.19,7.4,10.46,134.16,7.37,0,0.53,11.02,30,"(176, 144)"
10,99.98,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
15,99.9,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
20,99.41,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
25,98.58,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
30,97.27,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
35,95.2,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
40,92.13,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
10,99.94,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
15,99.36,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
20,98.12,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
25,96.75,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
30,95.18,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
35,92.99,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
40,89.61,0.67,0.15,6.8,8.74,74.85,6.81,0,0.23,9.4,60,"(704, 576)"
