video_name,cq,vmaf,output_size,bitrate
720p50_parkrun_ter_segment_001.mp4,20,"(None,)",16.010018348693848,34.953
720p50_parkrun_ter_segment_001.mp4,22,"(None,)",13.044060707092285,28.9269
720p50_parkrun_ter_segment_001.mp4,24,94.67,7.226347923278809,14.2992
720p50_parkrun_ter_segment_001.mp4,26,94.06,7.200749397277832,16.1327
720p50_parkrun_ter_segment_001.mp4,28,94.58,6.83742618560791,13.4438
720p50_parkrun_ter_segment_001.mp4,30,94.09,6.174838066101074,11.9161
720p50_parkrun_ter_segment_001.mp4,32,92.7,5.153834342956543,11.1555
720p50_parkrun_ter_segment_001.mp4,34,91.05,4.2999677658081055,8.988299999999999
720p50_parkrun_ter_segment_001.mp4,36,88.98,3.5861358642578125,7.9141
720p50_parkrun_ter_segment_001.mp4,38,86.76,2.978912353515625,5.826
720p50_parkrun_ter_segment_001.mp4,40,84.18,2.4941635131835938,2.9132
720p50_parkrun_ter_segment_001.mp4,42,81.44,2.0811071395874023,3.7456
720p50_parkrun_ter_segment_001.mp4,44,78.64,1.7361345291137695,2.3836
720p50_parkrun_ter_segment_001.mp4,46,75.32,1.4406852722167969,0.0006
720p50_parkrun_ter_segment_001.mp4,48,71.76,1.198007583618164,0.0008
720p50_parkrun_ter_segment_001.mp4,50,67.96,0.9854955673217772,0.0005
720p50_parkrun_ter_segment_001.mp4,52,63.38,0.8077526092529297,0.0005
720p50_parkrun_ter_segment_001.mp4,54,59.36,0.6620769500732422,0.0005
720p50_parkrun_ter_segment_001.mp4,56,54.91,0.5495090484619141,0.0005
720p50_parkrun_ter_segment_001.mp4,58,50.62,0.4492998123168945,0.0004
720p50_shields_ter_segment_000.mp4,10,"(None,)",40.069692611694336,75.5955
720p50_shields_ter_segment_000.mp4,12,"(None,)",31.03858757019043,61.5473
720p50_shields_ter_segment_000.mp4,14,"(None,)",24.757490158081055,48.934
720p50_shields_ter_segment_000.mp4,16,"(None,)",19.397546768188477,36.4726
720p50_shields_ter_segment_000.mp4,18,"(None,)",15.751112937927246,29.6341
720p50_shields_ter_segment_000.mp4,20,"(None,)",12.979232788085938,24.198400000000003
720p50_shields_ter_segment_000.mp4,22,"(None,)",10.376130104064941,18.3506
720p50_shields_ter_segment_000.mp4,24,99.86,7.5097455978393555,13.8785
720p50_shields_ter_segment_000.mp4,26,99.84,6.697649955749512,10.0828
720p50_shields_ter_segment_000.mp4,28,99.82,5.392264366149902,9.7094
720p50_shields_ter_segment_000.mp4,30,99.79,4.372052192687988,6.4202
720p50_shields_ter_segment_000.mp4,32,99.78,3.5868968963623047,4.559399999999999
720p50_shields_ter_segment_000.mp4,34,99.75,2.8974151611328125,4.559399999999999
720p50_shields_ter_segment_000.mp4,36,99.75,2.386021614074707,2.0975
720p50_shields_ter_segment_000.mp4,38,99.74,1.9751672744750977,3.6796
720p50_shields_ter_segment_000.mp4,40,99.6,1.6061420440673828,0.0005
720p50_shields_ter_segment_000.mp4,42,99.17,1.2982425689697266,0.0004
720p50_shields_ter_segment_000.mp4,44,98.06,1.082502365112305,1.8399
720p50_shields_ter_segment_000.mp4,46,96.4,0.9030675888061525,1.9069
720p50_shields_ter_segment_000.mp4,48,94.33,0.7628850936889648,0.0004
720p50_shields_ter_segment_000.mp4,50,91.8,0.6411418914794922,0.0004
720p50_shields_ter_segment_000.mp4,52,88.82,0.5470800399780273,0.0003
720p50_shields_ter_segment_000.mp4,54,85.12,0.4649229049682617,0.0003
720p50_shields_ter_segment_000.mp4,56,81.32,0.3972082138061523,0.0004
720p50_shields_ter_segment_000.mp4,58,76.82,0.3387174606323242,0.0004
720p50_shields_ter_segment_001.mp4,10,"(None,)",39.45651912689209,78.6437
720p50_shields_ter_segment_001.mp4,12,"(None,)",30.595858573913574,59.2678
720p50_shields_ter_segment_001.mp4,14,"(None,)",24.227354049682617,46.851699999999994
720p50_shields_ter_segment_001.mp4,16,"(None,)",19.271355628967285,34.1401
720p50_shields_ter_segment_001.mp4,18,"(None,)",15.636401176452637,25.506400000000003
720p50_shields_ter_segment_001.mp4,20,"(None,)",12.916426658630371,21.8457
720p50_shields_ter_segment_001.mp4,22,"(None,)",10.29861068725586,18.7249
720p50_shields_ter_segment_001.mp4,24,98.28,7.506490707397461,12.6556
720p50_shields_ter_segment_001.mp4,26,98.07,6.672939300537109,11.871
720p50_shields_ter_segment_001.mp4,28,97.86,5.405085563659668,7.1498
720p50_shields_ter_segment_001.mp4,30,97.78,4.338718414306641,6.1685
720p50_shields_ter_segment_001.mp4,32,97.31,3.505448341369629,5.8258
720p50_shields_ter_segment_001.mp4,34,96.78,2.8142824172973637,2.1849000000000003
720p50_shields_ter_segment_001.mp4,36,96.25,2.253981590270996,2.1403000000000003
720p50_shields_ter_segment_001.mp4,38,95.36,1.8374700546264648,3.4956
720p50_shields_ter_segment_001.mp4,40,94.23,1.4894695281982422,1.8399
720p50_shields_ter_segment_001.mp4,42,92.54,1.2333755493164062,1.7775999999999998
720p50_shields_ter_segment_001.mp4,44,90.99,1.0308971405029297,2.0169
720p50_shields_ter_segment_001.mp4,46,88.81,0.8481712341308594,0.0004
720p50_shields_ter_segment_001.mp4,48,86.03,0.7050304412841797,0.0004
720p50_shields_ter_segment_001.mp4,50,83.07,0.5955743789672852,0.0003
720p50_shields_ter_segment_001.mp4,52,79.5,0.5067682266235352,0.0004
720p50_shields_ter_segment_001.mp4,54,75.36,0.4306678771972656,0.0003
720p50_shields_ter_segment_001.mp4,56,70.82,0.3676233291625976,0.0004
720p50_shields_ter_segment_001.mp4,58,65.51,0.3123750686645508,0.0004
720p5994_stockholm_ter_segment_000.mp4,10,"(None,)",51.05335521697998,94.278
